date,store_id,sku,units,revenue
2024-01-01,1,A,8,80.00
2024-01-01,1,B,4,48.00
2024-01-01,1,C,6,84.00
2024-01-01,2,A,9,90.00
2024-01-01,2,B,10,120.00
2024-01-01,2,C,8,112.00
2024-01-01,3,A,5,50.00
2024-01-01,3,B,5,60.00
2024-01-01,3,C,6,84.00
2024-01-01,4,A,4,40.00
2024-01-01,4,B,8,96.00
2024-01-01,4,C,3,42.00
2024-01-01,5,A,3,30.00
2024-01-01,5,B,7,84.00
2024-01-01,5,C,7,98.00
2024-01-01,6,A,6,60.00
2024-01-01,6,B,6,72.00
2024-01-01,6,C,2,28.00
2024-01-01,7,A,8,80.00
2024-01-01,7,B,4,48.00
2024-01-01,7,C,6,84.00
2024-01-01,8,A,8,80.00
2024-01-01,8,B,9,108.00
2024-01-01,8,C,10,140.00
2024-01-01,9,A,6,60.00
2024-01-01,9,B,5,60.00
2024-01-01,9,C,6,84.00
2024-01-01,10,A,7,70.00
2024-01-01,10,B,5,60.00
2024-01-01,10,C,5,70.00
2024-01-02,1,A,6,60.00
2024-01-02,1,B,7,84.00
2024-01-02,1,C,6,84.00
2024-01-02,2,A,13,130.00
2024-01-02,2,B,7,84.00
2024-01-02,2,C,6,84.00
2024-01-02,3,A,6,60.00
2024-01-02,3,B,7,84.00
2024-01-02,3,C,6,84.00
2024-01-02,4,A,8,80.00
2024-01-02,4,B,9,108.00
2024-01-02,4,C,6,84.00
2024-01-02,5,A,6,60.00
2024-01-02,5,B,7,84.00
2024-01-02,5,C,10,140.00
2024-01-02,6,A,2,20.00
2024-01-02,6,B,5,60.00
2024-01-02,6,C,5,70.00
2024-01-02,7,A,6,60.00
2024-01-02,7,B,8,96.00
2024-01-02,7,C,8,112.00
2024-01-02,8,A,13,130.00
2024-01-02,8,B,10,120.00
2024-01-02,8,C,7,98.00
2024-01-02,9,A,3,30.00
2024-01-02,9,B,3,36.00
2024-01-02,9,C,6,84.00
2024-01-02,10,A,5,50.00
2024-01-02,10,B,6,72.00
2024-01-02,10,C,8,112.00
2024-01-03,1,A,5,50.00
2024-01-03,1,B,6,72.00
2024-01-03,1,C,3,42.00
2024-01-03,2,A,6,60.00
2024-01-03,2,B,7,84.00
2024-01-03,2,C,9,126.00
2024-01-03,3,A,7,70.00
2024-01-03,3,B,4,48.00
2024-01-03,3,C,5,70.00
2024-01-03,4,A,7,70.00
2024-01-03,4,B,9,108.00
2024-01-03,4,C,8,112.00
2024-01-03,5,A,9,90.00
2024-01-03,5,B,6,72.00
2024-01-03,5,C,10,140.00
2024-01-03,6,A,5,50.00
2024-01-03,6,B,7,84.00
2024-01-03,6,C,4,56.00
2024-01-03,7,A,10,100.00
2024-01-03,7,B,6,72.00
2024-01-03,7,C,10,140.00
2024-01-03,8,A,9,90.00
2024-01-03,8,B,7,84.00
2024-01-03,8,C,6,84.00
2024-01-03,9,A,4,40.00
2024-01-03,9,B,7,84.00
2024-01-03,9,C,6,84.00
2024-01-03,10,A,8,80.00
2024-01-03,10,B,2,24.00
